date,SPY,QQQ,IWM,EFA,EEM,AGG,TLT,GLD,USO,VNQ,GSG,HYG
2016-10-27,184.36079181824545,111.0692621550292,108.04493907482146,46.04797845231047,31.626201419923202,91.68938525209373,107.14208054946316,121.01,89.68,60.30480131131703,15.08,58.6737730106428
2016-10-28,183.81592986891312,110.37178036620772,107.7436985383675,46.03204765194641,31.498263711913804,91.68938525209373,106.90442410645149,121.58,88.08,60.44756124464808,14.96,58.38954020021062
2016-10-31,183.82458705117804,110.26810064084236,108.17273809028677,46.05594385249249,31.67737650312696,91.80486306727268,107.56002808717332,121.94,84.24,61.43185341656218,14.56,58.213586555657365
2016-11-01,182.49270593774654,109.43866283791955,106.84910543011027,45.856808847941764,31.42150108710817,91.75517461308426,107.56810840623571,122.73,84.56,60.094418251671264,14.59,57.98742521537562
2016-11-02,181.39435080241807,108.56209788710339,105.48895876551511,45.54615824084263,31.04621714361393,91.8626065927267,108.0361171215365,123.64,82.24,59.21531760958005,14.36,57.72909905380654
2016-11-03,180.56408637510282,107.49702434471384,104.97776270365384,45.49836583975045,30.960925338274333,91.7386466162162,107.20683852074038,124.3,80.64,58.75698308678036,14.23,57.74269516757334
2016-11-04,180.36517355869876,107.12000716156712,105.65327178539908,45.06026882973885,30.64534565851782,91.92871858019898,108.16748798898935,124.39,79.84,59.222831290281675,14.11,57.76988739510693
2016-11-07,184.34349129136956,109.66487314780758,108.23663759801943,45.68157004393712,31.7541391279326,91.82128660055653,107.24789191681941,122.15,81.28,60.25971922710722,14.23,58.578856164231155
2016-11-08,185.17375658353822,110.3812057957864,108.51962113226406,45.80901644684959,31.958839460747637,91.67253462874392,106.81272591838184,121.64,80.8,60.575293816575865,14.19,58.44969308344662
2016-11-09,187.1369771999337,110.8901789930345,111.86065253657166,45.848843447759734,30.92680861613849,90.82134279003837,102.28043099125856,121.56,82.24,59.65862477097648,14.31,58.041809670442795
2016-11-10,187.60399196744478,109.09934737308748,113.6498387530861,45.721397044847265,30.039773840606667,90.44946286050683,100.7696660155508,119.75,80.32,58.659305237659105,14.14,57.28042729950235
2016-11-11,187.17156528088486,109.14647452098082,116.26059006902045,45.442608038476244,29.468318744831354,90.28418289182613,100.2031291496604,117.1,78.16,59.012448230635925,13.91,56.74338080571399
2016-11-14,187.3185886246085,108.04369926027661,117.8945917667556,45.195680632833344,29.255089231482355,89.92056696072862,99.60374956690677,116.11,78.96,60.40999284113991,13.9,57.1648603324846
2016-11-15,188.78019341974112,109.5423425632849,118.25973181094221,45.39481563738408,29.843602688325593,89.98667894820089,100.09639031985495,117.12,82.72,59.90657623413041,14.25,57.919444646541656
2016-11-16,188.4256000773485,110.19269720421302,118.25060330983753,44.91689162646232,29.596256452840755,90.18501491061771,100.99956503359329,116.77,81.84,59.733761577992816,14.13,57.68831071250616
2016-11-17,189.3942445037764,110.99385871839985,118.94436939379213,45.25940383428958,29.638902355510552,89.8461909748223,99.51343209553293,116.17,81.04,59.125153441160435,14.13,57.53195540418803
2016-11-18,188.97046202668085,110.57913981693842,119.57423597001406,44.76554902300377,29.5024354669672,89.55695102963111,99.22605832297982,115.15,82.56,59.297968097298025,14.27,57.53195540418803
2016-11-21,190.39746490320832,111.72904222553599,120.13107453739865,45.14788823174117,29.79242760512183,89.63132701553741,99.47237869945393,115.58,86.16,59.11763976045881,14.73,57.99422327225902
2016-11-22,190.76935877247683,112.06835769036806,121.22649466995853,45.25940383428958,30.244474173421704,89.71396699987775,99.4395359825907,115.54,85.04,60.15452769728434,14.69,58.42250085591303
2016-11-23,190.87313685298432,111.61593707059197,121.98416026164575,45.100095830648996,29.920365313131228,89.39993505938446,99.05363405944796,113.25,85.36,59.89906255342877,14.71,58.204963035644326
2016-11-25,191.5823226729162,111.97410339458136,122.38581431025104,45.23550763374349,30.065361382208547,89.39167106095042,99.20142628533242,112.61,82.64,60.244691865703956,14.57,58.2797416613617
2016-11-28,190.6828682460446,111.71961679595732,120.79745511803924,44.99654562828262,30.184769909683986,89.70570300144372,99.93217673553889,113.8,83.52,60.52269805166442,14.64,58.27294360447829
2016-11-29,191.05476211531308,112.10605940868273,120.73355561030657,45.28330003483567,30.227415812353783,89.80487098265213,100.35092137554484,113.27,80.48,61.101251465690254,14.27,58.19816497876093
2016-11-30,190.596390692413,110.74879754935446,120.14020303850333,45.23550763374349,30.278590895557542,89.44951904998865,98.72520689081584,111.75,87.44,60.40247916043827,14.92,58.22535720629452
2016-12-01,189.89586118989266,108.83543534488476,119.55597896780472,45.06026882973885,29.920365313131228,89.15524632975114,97.68465109243868,111.54,90.64,59.51586483764542,15.23,57.95389040076982
2016-12-02,189.99098295298862,109.05222022519415,119.49207946007206,45.17178443228726,29.954482035267066,89.43675435122321,98.4004402480895,112.14,91.84,60.109445613074534,15.32,58.30214636995083
2016-12-05,191.1325954594804,109.9005088872743,121.54599220862181,45.617846842480894,30.201828270751903,89.51127118043642,98.29348324781984,111.54,90.8,60.55275277447096,15.36,58.45237443508774
2016-12-06,191.73799022610416,110.16442091547701,122.86049636769366,45.92849744958002,30.363882700897143,89.49471188505572,98.21943609378698,111.43,90.32,60.94346417095594,15.32,58.74600201694624
2016-12-07,194.246072791832,111.55938449311995,124.05633001240484,46.61352186523453,30.87563353293474,89.72654202038568,99.05863717282588,111.83,88.72,62.1606804446207,15.19,59.039629598804744
2016-12-08,194.72173176880742,111.75731851427199,126.00982924880326,46.57369486432439,31.01210042147809,89.56094906657856,97.8903376314188,111.57,90.48,62.58896024461386,15.31,59.03280105038943
2016-12-09,195.89793322110376,112.63388346508816,126.25629877862923,46.772829868875114,30.850045991332856,89.28772069279682,96.67267332065649,110.4,91.52,62.521337118299144,15.42,59.060115244050685
2016-12-12,195.67307566835944,112.12491026784005,124.92353761734806,46.56572946414236,30.64534565851782,89.20492421589326,96.85367747495899,110.82,92.96,62.93458955688904,15.52,58.97817266306692
2016-12-13,196.97899993750352,113.53872470464033,124.93266611845274,47.067549675610195,30.986512879876212,89.32083928355824,97.1992308604456,110.45,93.84,62.9045348340825,15.59,59.121572179788515
2016-12-14,195.353084244572,113.30308896517361,123.37169242955493,46.374559859773655,30.065361382208547,88.83234006982725,96.11320593463056,108.83,90.56,61.52953126568342,15.34,58.677716532793106
2016-12-15,196.1573918275998,113.48217212716833,124.29367104112613,46.271009657407284,30.11653646541231,88.72470464985263,96.59862616662365,107.34,90.88,61.16887459200497,15.33,58.70503072645436
2016-12-16,195.77592662605102,113.06268395834009,124.0654585135095,46.3028712581354,29.980069576868946,88.78266218368512,96.37648470452511,108.05,92.4,62.08554363760435,15.47,58.75965911377687
2016-12-19,196.2022125382725,113.52590064010921,124.87789511182474,46.23118265649713,29.77536924405391,89.01449231901508,97.41314486098493,108.59,92.0,62.754261220049806,15.38,58.90988717891378
2016-12-20,196.95907390773152,113.96075711687206,125.93680123996594,46.390490660137715,29.87771941046143,88.93169584211152,96.92772462899184,107.79,92.96,62.89702115338086,15.42,58.99182975989755
2016-12-21,196.41100743132017,113.87567650185323,125.11523614054605,46.40337310185211,29.755076617727514,89.1221277389897,97.35555263007048,107.85,91.52,61.9427837042733,15.36,59.09425798612726
